"star","hotelName","hotelId","location","freeCancelTag","favorityCountMsg","score","scoreDescription","totalReviews"
"5.0","Sofitel Singapore Sentosa Resort & Spa (Staycation Approved)","996320","Sentosa Island","Free Cancellation","2,327 people added to favourites","4.3","Excellent","346 reviews"
"4.0","Village Hotel Sentosa by Far East Hospitality (SG Clean)","25469473","Sentosa Island","Free Cancellation","Saved by 11.4k people","4.5","Excellent","450 reviews"
"3.0","Rest Bugis Hotel (Staycation Approved)","996058","Bugis",NA,"1,831 people added to favourites","4.1","Very Good","493 reviews"
"3.0","Lion Peak Hotel Bugis (SG Clean, Staycation Approved)","998539","Bugis",NA,"1,310 people added to favourites","3.6","","66 reviews"
"5.0","Hotel Fort Canning Singapore (Staycation Approved)","687595","Orchard Road",NA,"1,093 people added to favourites","4.2","Very Good","219 reviews"
"5.0","Shangri-La Rasa Sentosa, Singapore (Staycation Approved)","996300","Sentosa Island",NA,"Saved by 18.6k people","4.6","Outstanding","626 reviews"
"5.0","Goodwood Park Hotel (Staycation Approved)","995053","Orchard Road","Free Cancellation","Saved by 16.7k people","4.4","Excellent","937 reviews"
"5.0","Four Seasons Hotel Singapore (Staycation Approved)","928186","Orchard Road","Free Cancellation","7,446 people added to favourites","4.7","Outstanding","338 reviews"
"3.0","ST Signature Tanjong Pagar(SG Clean Certified)","49354410","Chinatown",NA,"589 people added to favourites","4.2","Very Good","207 reviews"
"3.0","Summer View Hotel Singapore (Staycation Approved)","1684292","Bugis",NA,"4,846 people added to favourites","4.0","Very Good","248 reviews"
"2.0","Hotel 81 Selegie Singapore (Staycation Approved)","687494","Bugis","Free Cancellation","1,032 people added to favourites","3.5","","89 reviews"
"3.0","Classique Hotel (Staycation Approved)","1359681",NA,NA,"376 people added to favourites","3.5","","119 reviews"
"3.0","The Great Madras by Hotel Calmo","77698028","Little India",NA,"54 people added to favourites","3.3","","76 reviews"
"3.0","Robertson Quay Hotel (Staycation Approved)","687463","Singapore River",NA,"1,860 people added to favourites","3.5","","319 reviews"
"4.0","Holiday Inn Singapore Little India, an Ihg Hotel - SG Clean","80508014","Little India",NA,"136 people added to favourites","4.5","Excellent","71 reviews"
"2.0","Four Chain View Hotel (Staycation Approved)","687808","Geylang",NA,"334 people added to favourites","3.2","","26 reviews"
"2.0","Hotel 81 Tristar Singapore (Staycation Approved)","687499","East Coast","Free Cancellation","483 people added to favourites","3.3","","37 reviews"
"3.0","Hotel Classic by Venue Singapore (Staycation Approved)","687513","East Coast","Free Cancellation","624 people added to favourites","3.8","","103 reviews"
"2.0","Hotel 81 Sakura (Staycation Approved)","687509","East Coast","Free Cancellation","1,122 people added to favourites","3.7","","127 reviews"
"3.0","Venue Hotel the Lily (Staycation Approved)","687489","East Coast","Free Cancellation","1,484 people added to favourites","4.0","Very Good","214 reviews"
"2.0","Hotel 81 Gold (Staycation Approved)","687633","Geylang","Free Cancellation","637 people added to favourites","4.0","Very Good","166 reviews"
"2.0","Hotel 81 Premier Star (Staycation Approved)","687497","Geylang","Free Cancellation","3,302 people added to favourites","4.0","Very Good","355 reviews"
"2.0","K Hotel 1515 (Staycation Approved)","71906273","Geylang",NA,"68 people added to favourites","2.7","","47 reviews"
"3.0","Venue Hotel (Staycation Approved)","996328","East Coast","Free Cancellation","1,495 people added to favourites","3.9","","180 reviews"
"3.0","K Hotel 14 (Staycation Approved)","28870957","Geylang",NA,"443 people added to favourites","2.5","","68 reviews"
"5.0","Resorts World Sentosa - Equarius Hotel Singapore (Staycation Approved)","996048","Sentosa Island",NA,"Saved by 15.2k people","4.4","Excellent","295 reviews"
"4.0","Siloso Beach Resort Sentosa Singapore  (Staycation Approved)","996302","Sentosa Island",NA,"8,510 people added to favourites","3.9","","410 reviews"
"2.0","Hotel Snow Lavender Singapore (Staycation Approved)","4439330","Lavender","Free Cancellation","668 people added to favourites","3.2","","52 reviews"
"3.0","The Quay Hotel Lavender(Staycation Approved)","68173444","Lavender",NA,"171 people added to favourites","3.6","","85 reviews"
"3.0","Arton Boutique Hotel Singapore (Staycation Approved)","989485","Lavender",NA,"3,894 people added to favourites","4.0","Very Good","1,313 reviews"
"2.0","Hotel 81 Elegance Singapore (Staycation Approved)","687491","Lavender","Free Cancellation","818 people added to favourites","3.5","","75 reviews"
"3.0","Ibis Budget Singapore Imperial(SG Clean)(Staycation Approved)","49529767","Lavender",NA,"306 people added to favourites","4.1","Very Good","52 reviews"
"4.0","V Hotel Lavender Singapore","996327","Lavender","Free Cancellation","Saved by 12.3k people","3.8","","553 reviews"
"3.0","Hotel NuVe Stellar","79568182","Lavender",NA,"56 people added to favourites","4.1","Very Good","46 reviews"
"4.0","Hotel Boss Singapore (Staycation Approved)","3801236","Lavender","Free Cancellation","Saved by 30.2k people","4.0","Very Good","2,986 reviews"
"2.0","L Hotel @ 51 Desker","7301503","Little India",NA,"43 people added to favourites","3.5","","5 reviews"
"3.0","L Hotel @ Broadway","1620002","Little India",NA,"72 people added to favourites","3.1","","9 reviews"
"3.0","Harbour Ville Hotel Hamilton @Lavender Singapore (Staycation Approved)","10031649","Lavender",NA,"464 people added to favourites","3.8","","179 reviews"
"4.0","Parc Sovereign Hotel –Tyrwhitt","1172034","Lavender",NA,"3,601 people added to favourites","4.0","Very Good","84 reviews"
"2.0","Fragrance Hotel - Ocean View (Staycation Approved)","995029","West Coast",NA,"157 people added to favourites","3.2","","14 reviews"
"2.0","K2 Guesthouse Singapore (Staycation Approved)","22120926","West Coast",NA,"159 people added to favourites","3.4","","8 reviews"
"2.0","Fragrance Hotel - Viva(SG Clean)  (Staycation Approved)","1352960","Harbourfront",NA,"105 people added to favourites","3.4","","8 reviews"
"2.0","Coller Boutique Hostel","91843643","Singapore River",NA,NA,"3.9","","7 reviews"
"1.0","Century Service World","7005076","Chinatown",NA,"78 people added to favourites","4.1","Very Good","7 reviews"
"3.0","Hotel Calmo Chinatown","76519504","Chinatown",NA,"80 people added to favourites","3.3","","102 reviews"
"3.0","Ibis Budget Singapore Imperial(SG Clean)(Staycation Approved)","49529767","Lavender",NA,"306 people added to favourites","4.1","Very Good","52 reviews"
"2.0","Hotel 81 Sakura (Staycation Approved)","687509","East Coast","Free Cancellation","1,122 people added to favourites","3.7","","127 reviews"
"2.0","Four Chain View Hotel (Staycation Approved)","687808","Geylang",NA,"334 people added to favourites","3.2","","26 reviews"
"2.0","Hotel Fuji (Staycation Approved)","2510063","Geylang",NA,"174 people added to favourites","3.4","","26 reviews"
"2.0","Hotel 81 Lucky (Staycation Approved)","687580","Geylang","Free Cancellation","837 people added to favourites","3.1","","65 reviews"
"2.0","Hotel 81 Gold (Staycation Approved)","687633","Geylang","Free Cancellation","637 people added to favourites","4.0","Very Good","166 reviews"
"5.0","Sheraton Towers Singapore (Staycation Approved)","991875","Orchard Road","Free Cancellation","8,253 people added to favourites","4.4","Excellent","149 reviews"
"3.0","Hotel Calmo Bugis (Staycation Approved)","67727971","Bugis",NA,"336 people added to favourites","3.8","","94 reviews"
"4.0","Nostalgia Hotel Singapore (Staycation Approved)","687567","Singapore River",NA,"744 people added to favourites","4.1","Very Good","49 reviews"
"2.0","Hotel 81 Chinatown Singapore (Staycation Approved)","995057","Chinatown","Free Cancellation","973 people added to favourites","3.9","","61 reviews"
"3.0","Harbour Ville Hotel Hamilton @Lavender Singapore (Staycation Approved)","10031649","Lavender",NA,"464 people added to favourites","3.8","","179 reviews"
"3.0","Lion Peak Hotel Bugis (SG Clean, Staycation Approved)","998539","Bugis",NA,"1,310 people added to favourites","3.6","","66 reviews"
"3.0","Hotel Calmo Bugis (Staycation Approved)","67727971","Bugis",NA,"336 people added to favourites","3.8","","94 reviews"
"3.0","Lion Peak Hotel Raffles(Staycation Approved)","23967152","Bugis",NA,"3,684 people added to favourites","3.9","","225 reviews"
"4.0","Holiday Inn Express Singapore Clarke Quay (SG Clean)","1016825","Singapore River",NA,"9,232 people added to favourites","4.2","Very Good","127 reviews"
"2.0","Arianna Hotel Singapore","989578","Little India",NA,"217 people added to favourites","2.5","","23 reviews"
"3.0","J8 Hotel Singapore (Staycation Approved)","1619617","Lavender",NA,"862 people added to favourites","3.6","","126 reviews"
"2.0","Arianna Hotel Singapore","989578","Little India",NA,"217 people added to favourites","2.5","","23 reviews"
"4.0","Park Regis Singapore","996039","Singapore River",NA,"Saved by 11k people","4.2","Very Good","172 reviews"
"4.0","Hotel NuVe Elements (Staycation Approved)","50040639","Singapore River",NA,"362 people added to favourites","4.0","Very Good","169 reviews"
"2.0","Hotel Conforto (Staycation Approved)","5027874","Singapore River",NA,"572 people added to favourites","3.8","","145 reviews"
"3.0","Check-Inn @ Little India Singapore (Staycation Approved)","5859858","Little India",NA,"850 people added to favourites","3.9","","110 reviews"
"2.0","Value Hotel Balestier Singapore","687506","Balestier","Free Cancellation","1,748 people added to favourites","3.9","","168 reviews"
"3.0","Victoria Hotel, a NuVe Group Collection","97209990","Bugis",NA,"60 people added to favourites","4.0","Very Good","7 reviews"
"3.0","The Daulat by Hotel Calmo","78045165","Little India",NA,"36 people added to favourites","3.7","","45 reviews"
"2.0","Hotel 81 Premier Star (Staycation Approved)","687497","Geylang","Free Cancellation","3,302 people added to favourites","4.0","Very Good","355 reviews"
"2.0","ibis budget Singapore Pearl(SG Clean)  (Staycation Approved)","995031","Geylang",NA,"1,429 people added to favourites","3.9","","160 reviews"
"2.0","K Hotel 1515 (Staycation Approved)","71906273","Geylang",NA,"68 people added to favourites","2.7","","47 reviews"
"2.0","K Hotel 8 (Staycation Approved)","52991322","Geylang",NA,"82 people added to favourites","2.5","","34 reviews"
"2.0","Hotel 81 Hollywood (Staycation Approved)","687637","Geylang","Free Cancellation","1,389 people added to favourites","3.7","","120 reviews"
"0.0","Beverly Hotels Elements","97351830","Lavender",NA,"61 people added to favourites","5.0","Perfect","3 reviews"
"4.0","Hotel Traveltine","82699791","Kallang",NA,"49 people added to favourites","4.1","Very Good","48 reviews"
"2.0","Hotel 81 Bugis Singapore (Staycation Approved)","687511","Bugis","Free Cancellation","671 people added to favourites","3.6","","73 reviews"
"2.0","ibis budget Singapore Bugis(SG Clean)  (Staycation Approved)","999188","Bugis",NA,"1,207 people added to favourites","3.9","","77 reviews"
"2.0","Met A Space Pod @ Arab Street Singapore","23790149","Bugis",NA,"97 people added to favourites","4.3","Excellent","19 reviews"
"2.0","K Hotel Aliwal (Premier)","70971166","Bugis",NA,"45 people added to favourites","3.1","","14 reviews"
"2.0","Hotel Conforto (Staycation Approved)","5027874","Singapore River",NA,"572 people added to favourites","3.8","","145 reviews"
"2.0","Hotel 81 Dickson Singapore (Staycation Approved)","687496","Little India","Free Cancellation","689 people added to favourites","3.4","","69 reviews"
"3.0","The Great Madras by Hotel Calmo","77698028","Little India",NA,"54 people added to favourites","3.3","","76 reviews"
"2.0","Hotel 81 Rochor (Staycation Approved)","687578","Little India","Free Cancellation","260 people added to favourites","3.6","","27 reviews"
"3.0","The Daulat by Hotel Calmo","78045165","Little India",NA,"36 people added to favourites","3.7","","45 reviews"
"2.0","Rucksack Inn @ Tyrwhitt","1725985","Lavender",NA,"86 people added to favourites","3.8","","6 reviews"
"2.0","Hotel 81 Bugis Singapore (Staycation Approved)","687511","Bugis","Free Cancellation","671 people added to favourites","3.6","","73 reviews"
"2.0","ibis budget Singapore Bugis(SG Clean)  (Staycation Approved)","999188","Bugis",NA,"1,207 people added to favourites","3.9","","77 reviews"
"2.0","Met A Space Pod @ Arab Street Singapore","23790149","Bugis",NA,"97 people added to favourites","4.3","Excellent","19 reviews"
"2.0","The Pod @ Beach Road Boutique Capsule Hotel(SG Clean)","687791","Bugis",NA,"3,221 people added to favourites","4.1","Very Good","62 reviews"
"2.0","K Hotel Aliwal (Premier)","70971166","Bugis",NA,"45 people added to favourites","3.1","","14 reviews"
"2.0","K Space Inn 14","67684714","Singapore River",NA,"38 people added to favourites","2.6","","13 reviews"
"2.0","Rucksack Inn @ Tyrwhitt","1725985","Lavender",NA,"86 people added to favourites","3.8","","6 reviews"
"2.0","Hotel 81 Kovan Singapore (Staycation Approved)","995068","Serangoon","Free Cancellation","531 people added to favourites","3.4","","84 reviews"
"2.0","Fragrance Hotel - Kovan (SG Clean) (Staycation Approved)","687484","Serangoon",NA,"92 people added to favourites","3.9","","49 reviews"
"3.0","Hotel Chancellor@Orchard (Staycation Approved)","2064004","Orchard Road",NA,"3,024 people added to favourites","3.6","","715 reviews"
"4.0","Copthorne King’s Hotel on Havelock (SG Clean)","909895","Singapore River","Free Cancellation","4,286 people added to favourites","3.8","","133 reviews"
"2.0","Campbell Inn - Hostel","23987578","Little India",NA,"65 people added to favourites","2.7","","18 reviews"
"2.0","Dream Lodge","4600894","Lavender",NA,"184 people added to favourites","4.7","Outstanding","22 reviews"
"4.0","Genting Hotel Jurong Singapore (SG Clean)","2018458","Jurong","Free Cancellation","4,473 people added to favourites","4.2","Very Good","271 reviews"
"2.0","K Hotel 8 (Staycation Approved)","52991322","Geylang",NA,"82 people added to favourites","2.5","","34 reviews"
"2.0","Hotel 81 Orchid Singapore (Staycation Approved)","687486","Geylang","Free Cancellation","3,084 people added to favourites","3.9","","305 reviews"
"2.0","ibis budget Singapore Pearl(SG Clean)  (Staycation Approved)","995031","Geylang",NA,"1,429 people added to favourites","3.9","","160 reviews"
"4.0","Hotel Grand Pacific Singapore (SG Clean)","998521","Bugis",NA,"8,692 people added to favourites","4.2","Very Good","191 reviews"
"5.0","InterContinental Singapore","1048889","Bugis",NA,"9,325 people added to favourites","4.7","Outstanding","321 reviews"
"5.0","The Capitol Kempinski Hotel Singapore (Staycation Approved)","2205665","Marina Bay",NA,"3,462 people added to favourites","4.7","Outstanding","154 reviews"
"2.0","Hotel 81 Hollywood (Staycation Approved)","687637","Geylang","Free Cancellation","1,389 people added to favourites","3.7","","120 reviews"
"2.0","Fragrance Rose Singapore(SG Clean) (Staycation Approved)","687481","Balestier",NA,"771 people added to favourites","4.1","Very Good","49 reviews"
"2.0","Fragrance Hotel – Balestier(SG Clean)  (Staycation Approved)","1715416","Balestier",NA,"457 people added to favourites","3.8","","33 reviews"
"2.0","Hotel 81 Balestier (Staycation Approved)","687675","Balestier","Free Cancellation","208 people added to favourites","3.4","","57 reviews"
"2.0","Value Hotel Nice (Staycation Approved)","687556","Balestier","Free Cancellation","1,304 people added to favourites","3.8","","188 reviews"
"2.0","Fragrance Hotel - Classic(SG Clean) (Staycation Approved)","1352993","Balestier",NA,"139 people added to favourites","3.9","","48 reviews"
"2.0","Fragrance Hotel - Oasis(SG Clean) (Staycation Approved)","995027","Balestier",NA,"826 people added to favourites","4.2","Very Good","40 reviews"
"3.0","Value Hotel Thomson Singapore (Staycation Approved)","687532","Balestier","Free Cancellation","3,099 people added to favourites","3.5","","247 reviews"
"2.0","Royal Lodge @ Pagoda Street","2623716","Chinatown",NA,"116 people added to favourites","3.7","","18 reviews"
"2.0","Galaxy Pods @ Chinatown","13385490","Chinatown","Free Cancellation","1,051 people added to favourites","4.2","Very Good","77 reviews"
"1.0","iStayInn","687787","Chinatown","Free Cancellation","302 people added to favourites","3.3","","26 reviews"
"1.0","Bluewaters Pods 38 Hongkong St","95443976","Singapore River","Free Cancellation",NA,"4.0","Very Good","14 reviews"
"2.0","Beat.Capsules Hostel@Boat Quay","4065550","Singapore River",NA,"761 people added to favourites","4.1","Very Good","19 reviews"
"3.0","ST Signature Jalan Besar (SG Clean)","53481177","Little India",NA,"160 people added to favourites","3.9","","196 reviews"
"2.0","Hotel Snow Lavender Singapore (Staycation Approved)","4439330","Lavender","Free Cancellation","668 people added to favourites","3.2","","52 reviews"
"2.0","Hotel Fuji (Staycation Approved)","2510063","Geylang",NA,"174 people added to favourites","3.4","","26 reviews"
"2.0","Dream Lodge","4600894","Lavender",NA,"184 people added to favourites","4.7","Outstanding","22 reviews"
"1.0","Oss Backpackers Hostel","28832429","Lavender","Free Cancellation",NA,"3.0","","7 reviews"
"2.0","Atlantis Pods @ Little India","17492237","Lavender",NA,"329 people added to favourites","4.0","Very Good","31 reviews"
"2.0","K Space Inn 569","57120080","Lavender",NA,NA,"3.2","","13 reviews"
"2.0","Campbell Inn - Hostel","23987578","Little India",NA,"65 people added to favourites","2.7","","18 reviews"
"2.0","K Space Inn 14","67684714","Singapore River",NA,"38 people added to favourites","2.6","","13 reviews"
"2.0","Beat.Capsules Hostel@Boat Quay","4065550","Singapore River",NA,"761 people added to favourites","4.1","Very Good","19 reviews"
"1.0","River City Inn","2509074","Singapore River",NA,"106 people added to favourites","3.9","","3 reviews"
"1.0","Vintage Inn @ Clarke Quay Singapore(SG Clean)","687710","Singapore River",NA,"107 people added to favourites","3.4","","5 reviews"
"4.0","Five/6 Hotel Splendour (Staycation Approved)","7042701","Geylang",NA,"3,507 people added to favourites","4.0","Very Good","371 reviews"
"2.0","Rucksack Inn @ Temple Street","687663","Chinatown",NA,"170 people added to favourites","4.5","Excellent","14 reviews"
"1.0","Bluewaters Pods At Bugis","92450304","Singapore River","Free Cancellation",NA,"4.0","Very Good","4 reviews"
"1.0","Vintage Inn @ Clarke Quay Singapore(SG Clean)","687710","Singapore River",NA,"107 people added to favourites","3.4","","5 reviews"
"1.0","River City Inn","2509074","Singapore River",NA,"106 people added to favourites","3.9","","3 reviews"
"2.0","Hotel 81 Selegie Singapore (Staycation Approved)","687494","Bugis","Free Cancellation","1,032 people added to favourites","3.5","","89 reviews"
"2.0","Aliwal Park Hotel Singapore (Staycation Approved)","687812","Bugis",NA,"476 people added to favourites","2.9","","25 reviews"
"3.0","Bliss Hotel Singapore (Staycation Approved)","687789","Chinatown",NA,"2,113 people added to favourites","4.3","Excellent","72 reviews"
"2.0","Hotel 81 Fuji (Staycation Approved)","995058","Balestier","Free Cancellation","287 people added to favourites","3.3","","71 reviews"
"2.0","Hotel 81 Lucky (Staycation Approved)","687580","Geylang","Free Cancellation","837 people added to favourites","3.1","","65 reviews"
"2.0","Hotel 81 Osaka Singapore (Staycation Approved)","687572",NA,"Free Cancellation","2,086 people added to favourites","3.3","","53 reviews"
"3.0","The Noble Hotel Singapore (Staycation Approved)","4508010","Lavender",NA,"385 people added to favourites","3.1","","69 reviews"
"1.0","iStayInn","687787","Chinatown","Free Cancellation","302 people added to favourites","3.3","","26 reviews"
"2.0","Royal Lodge @ Pagoda Street","2623716","Chinatown",NA,"116 people added to favourites","3.7","","18 reviews"
"2.0","Rucksack Inn @ Temple Street","687663","Chinatown",NA,"170 people added to favourites","4.5","Excellent","14 reviews"
"4.0","Riverside Hotel Robertson Quay","996037","Singapore River",NA,"3,231 people added to favourites","4.3","Excellent","570 reviews"
"5.0","Ascott Raffles Place Singapore (SG Clean)","687490","Marina Bay",NA,"3,505 people added to favourites","4.4","Excellent","394 reviews"
"4.0","Four Points by Sheraton Singapore, Riverview","996054","Singapore River",NA,"6,873 people added to favourites","4.4","Excellent","297 reviews"
"5.0","The Westin Singapore (Staycation Approved)","687796","Marina Bay",NA,"6,424 people added to favourites","4.5","Excellent","106 reviews"
"4.0","Oasia Hotel Downtown, Singapore by Far East Hospitality  (Staycation Approved)","4910273","Chinatown",NA,"Saved by 13.2k people","4.3","Excellent","387 reviews"
"5.0","Swissotel the Stamford (SG Clean)","998612","Marina Bay",NA,"Saved by 22k people","4.7","Outstanding","578 reviews"
"5.0","The Fullerton Hotel Singapore (Staycation Approved)","996310","Marina Bay",NA,"Saved by 16.1k people","4.7","Outstanding","488 reviews"
"5.0","Fairmont Singapore (Staycation Approved)","998431","Marina Bay",NA,"Saved by 12.8k people","4.6","Outstanding","607 reviews"
"5.0","Mandarin Oriental, Singapore (Staycation Approved)","1308129","Marina Bay",NA,"Saved by 11.7k people","4.6","Outstanding","751 reviews"
"5.0","PARKROYAL COLLECTION Marina Bay, Singapore (Staycation Approved)","995082","Marina Bay",NA,"7,261 people added to favourites","4.6","Outstanding","1,464 reviews"
"5.0","PARKROYAL COLLECTION Pickering, Singapore (Staycation Approved)","712600",NA,NA,"Saved by 21.4k people","4.5","Excellent","905 reviews"
"5.0","The Ritz-Carlton, Millenia Singapore (Staycation Approved)","962739","Marina Bay",NA,"Saved by 23.1k people","4.7","Outstanding","641 reviews"
